AB_Improved,AB_Custom,AB_Custom2,AB_Custom3,
68.6,64.3,67.1,68.6,1
61.4,48.6,67.1,67.1,
58.6,60,64.3,61.4,
60,62.9,67.1,62.9,
62.9,51.4,67.1,60,
62.9,62.9,61.4,67.1,
65.7,57.1,62.9,74.3,
60,58.6,62.9,67.1,
64.3,57.1,61.4,62.9,
60,58.6,65.7,68.6,
60,47.1,64.3,75.7,2
65.7,62.9,65.7,65.7,
61.4,60,62.9,52.9,
64.3,54.3,62.9,60,
67.1,62.9,67.1,65.7,
61.4,55.7,61.4,70,
57.1,60,58.6,70,
68.6,60,67.1,67.1,
65.7,65.7,65.7,61.4,
61.4,67.1,61.4,67.1,
64.3,52.9,67.1,64.3,3
58.6,62.9,65.7,65.7,
57.1,50,65.7,60,
62.9,58.6,57.1,65.7,
67.1,55.7,67.1,60,
68.6,70,60,58.6,
70,61.4,62.9,55.7,
65.7,71.4,57.1,67.1,
68.6,60,62.9,61.4,
64.3,58.6,70,57.1,
61.4,65.7,67.1,60,4
58.6,60,70,64.3,
64.3,64.3,67.1,58.6,
62.9,61.4,70,67.1,
62.9,55.7,64.3,67.1,
62.9,57.1,72.9,60,
58.6,58.6,62.9,70,
67.1,58.6,60,60,
64.3,55.7,64.3,62.9,
70,64.3,58.6,70,
58.6,54.3,64.3,60,5
61.4,51.4,67.1,58.6,
62.9,60,72.9,58.6,
57.1,58.6,57.1,67.1,
64.3,64.3,67.1,57.1,
67.1,61.4,61.4,65.7,
70,62.9,62.9,58.6,
64.3,58.6,55.7,67.1,
67.1,54.3,62.9,78.6,
61.4,51.4,61.4,67.1,
65.7,48.6,58.6,71.4,6
65.7,60,70,67.1,
52.9,60,62.9,60,
57.1,52.9,68.6,70,
68.6,61.4,68.6,60,
65.7,57.1,71.4,64.3,
64.3,58.6,62.9,64.3,
68.6,60,64.3,61.4,
62.9,62.9,58.6,67.1,
57.1,61.4,64.3,71.4,
60,60,71.4,65.7,7
70,55.7,61.4,60,
64.3,54.3,58.6,71.4,
61.4,60,61.4,62.9,
67.1,64.3,65.7,64.3,
60,58.6,68.6,55.7,
54.3,65.7,64.3,70,
62.9,50,70,62.9,
70,55.7,65.7,64.3,
65.7,57.1,61.4,61.4,
61.4,47.1,60,60,8
61.4,52.9,65.7,64.3,
68.6,58.6,75.7,64.3,
57.1,61.4,57.1,70,
70,55.7,67.1,64.3,
72.9,62.9,62.9,61.4,
64.3,51.4,61.4,67.1,
57.1,52.9,68.6,58.6,
62.9,55.7,58.6,57.1,
62.9,64.3,60,64.3,
68.6,58.6,55.7,64.3,9
65.7,61.4,64.3,67.1,
74.3,60,65.7,67.1,
61.4,57.1,61.4,67.1,
68.6,64.3,65.7,67.1,
58.6,52.9,65.7,70,
68.6,57.1,64.3,61.4,
67.1,61.4,58.6,67.1,
64.3,48.6,62.9,68.6,
58.6,54.3,70,70,
67.1,55.7,64.3,65.7,10
71.4,50,67.1,62.9,
60,64.3,74.3,70,
61.4,60,65.7,62.9,
58.6,58.6,65.7,64.3,
62.9,64.3,64.3,65.7,
61.4,58.6,64.3,64.3,
60,58.6,58.6,71.4,
62.9,60,72.9,72.9,
65.7,54.3,71.4,65.7,
74.3,55.7,64.3,68.6,11
58.6,55.7,64.3,67.1,
52.9,57.1,57.1,60,
61.4,62.9,67.1,70,
27.1,34.3,38.6,24.3,
30,42.9,44.3,35.7,
27.1,38.6,32.9,38.6,
45.7,34.3,30,31.4,
37.1,34.3,34.3,50,
35.7,28.6,25.7,38.6,
60,61.4,55.7,62.9,12
71.4,55.7,71.4,71.4,
65.7,48.6,67.1,64.3,
67.1,68.6,72.9,68.6,
34.3,38.6,34.3,47.1,
28.6,44.3,32.9,38.6,
38.6,34.3,27.1,37.1,
31.4,37.1,40,42.9,
37.1,28.6,28.6,41.4,
40,34.3,38.6,38.6,
67.1,61.4,54.3,60,13
60,58.6,74.3,70,
67.1,55.7,65.7,70,
60,52.9,62.9,55.7,
30,40,37.1,30,
31.4,35.7,35.7,37.1,
28.6,30,45.7,47.1,
35.7,32.9,40,34.3,
34.3,40,42.9,34.3,
32.9,38.6,44.3,35.7,
68.6,62.9,68.6,64.3,14
65.7,62.9,74.3,64.3,
67.1,54.3,67.1,68.6,
61.4,45.7,61.4,55.7,
30,25.7,31.4,44.3,
30,27.1,37.1,37.1,
34.3,22.9,28.6,27.1,
35.7,32.9,31.4,35.7,
37.1,30,40,30,
32.9,32.9,30,28.6,
61.4,65.7,62.9,68.6,15
70,57.1,71.4,62.9,
62.9,58.6,65.7,55.7,
65.7,58.6,67.1,58.6,
41.4,35.7,38.6,31.4,
35.7,27.1,25.7,35.7,
35.7,41.4,30,38.6,
35.7,28.6,45.7,40,
32.9,44.3,27.1,40,
38.6,32.9,32.9,35.7,
34.3,35.7,42.9,32.9,16
42.9,31.4,41.4,40,
30,27.1,31.4,31.4,
28.6,27.1,38.6,40,
37.1,32.9,31.4,37.1,
38.6,34.3,37.1,47.1,
42.9,40,38.6,40,
67.1,62.9,68.6,71.4,
67.1,54.3,65.7,65.7,
71.4,50,58.6,68.6,
44.3,37.1,32.9,41.4,17
32.9,31.4,35.7,35.7,
35.7,30,40,31.4,
30,32.9,32.9,27.1,
34.3,21.4,32.9,38.6,
30,47.1,27.1,42.9,
64.3,50,52.9,64.3,
64.3,58.6,64.3,51.4,
62.9,61.4,65.7,68.6,
64.3,57.1,67.1,71.4,
30,30,30,31.4,18
42.9,27.1,41.4,34.3,
42.9,37.1,35.7,27.1,
40,31.4,34.3,34.3,
30,34.3,40,32.9,
28.6,35.7,24.3,44.3,
51.4,44.3,51.4,47.1,
64.3,52.9,62.9,64.3,
57.1,60,74.3,64.3,
64.3,57.1,65.7,65.7,
45.7,32.9,24.3,37.1,19
35.7,40,34.3,34.3,
34.3,48.6,30,28.6,
37.1,34.3,40,41.4,
31.4,41.4,21.4,35.7,
31.4,27.1,37.1,34.3,
62.9,48.6,52.9,58.6,
67.1,64.3,64.3,61.4,
62.9,61.4,68.6,64.3,
58.6,64.3,70,64.3,
35.7,45.7,28.6,31.4,20
30,37.1,37.1,31.4,
25.7,32.9,31.4,42.9,
38.6,38.6,34.3,32.9,
37.1,27.1,37.1,41.4,
35.7,35.7,35.7,31.4,
64.3,48.6,67.1,60,
62.9,71.4,68.6,55.7,
67.1,67.1,68.6,62.9,
58.6,58.6,60,65.7,
65.7,55.7,62.9,75.7,21
64.3,65.7,67.1,71.4,
67.1,60,57.1,65.7,
64.3,58.6,62.9,72.9,
58.6,52.9,57.1,65.7,
64.3,50,70,55.7,
68.6,62.9,57.1,65.7,
65.7,64.3,65.7,61.4,
67.1,58.6,61.4,61.4,
64.3,60,64.3,64.3,
64.3,61.4,65.7,71.4,22
62.9,61.4,70,67.1,
62.9,65.7,61.4,68.6,
60,52.9,61.4,62.9,
58.6,50,65.7,60,
64.3,54.3,60,68.6,
72.9,62.9,61.4,64.3,
65.7,60,67.1,65.7,
64.3,54.3,67.1,65.7,
71.4,47.1,65.7,64.3,
70,55.7,58.6,71.4,23
60,51.4,67.1,62.9,
61.4,55.7,54.3,62.9,
71.4,62.9,65.7,61.4,
61.4,62.9,67.1,64.3,
71.4,48.6,64.3,71.4,
68.6,67.1,64.3,64.3,
58.6,61.4,67.1,65.7,
67.1,55.7,64.3,64.3,
61.4,62.9,67.1,71.4,
55.7,61.4,65.7,58.6,24
61.4,60,62.9,65.7,
52.9,58.6,64.3,71.4,
61.4,64.3,62.9,70,
65.7,61.4,67.1,65.7,
72.9,58.6,58.6,58.6,
68.6,51.4,68.6,65.7,
64.3,51.4,65.7,67.1,
64.3,60,61.4,68.6,
65.7,61.4,65.7,61.4,
70,57.1,65.7,65.7,25
60,60,60,67.1,
67.1,51.4,61.4,64.3,
62.9,55.7,62.9,68.6,
57.1,62.9,60,64.3,
74.3,62.9,62.9,68.6,
67.1,60,58.6,61.4,
70,55.7,67.1,67.1,
65.7,61.4,64.3,58.6,
60,67.1,68.6,64.3,
65.7,58.6,70,75.7,26
64.3,60,71.4,65.7,
67.1,48.6,65.7,67.1,
60,60,60,74.3,
62.9,48.6,58.6,71.4,
68.6,60,71.4,67.1,
62.9,47.1,61.4,67.1,
65.7,54.3,55.7,67.1,
64.3,55.7,62.9,64.3,
62.9,58.6,64.3,60,
64.3,52.9,68.6,58.6,27
62.9,60,70,64.3,
61.4,58.6,62.9,60,
64.3,61.4,55.7,62.9,
61.4,60,65.7,65.7,
62.9,55.7,60,62.9,
65.7,57.1,71.4,62.9,
65.7,54.3,61.4,72.9,
58.6,64.3,62.9,64.3,
65.7,57.1,64.3,58.6,
64.3,64.3,70,77.1,28
60,55.7,68.6,68.6,
57.1,57.1,70,70,
62.9,60,60,64.3,
58.6,58.6,58.6,64.3,
55.7,57.1,72.9,60,
61.4,60,62.9,71.4,
62.9,64.3,67.1,65.7,
61.4,62.9,68.6,61.4,
72.9,61.4,65.7,72.9,
62.9,54.3,70,62.9,29
62.9,64.3,70,58.6,
64.3,58.6,58.6,60,
68.6,60,65.7,64.3,
64.3,47.1,67.1,61.4,
60,60,67.1,74.3,
67.1,61.4,62.9,65.7,
58.6,58.6,65.7,70,
68.6,54.3,64.3,61.4,
61.4,55.7,62.9,67.1,
61.4,60,72.9,65.7,30
61.4,55.7,61.4,60,
67.1,55.7,64.3,65.7,
72.9,64.3,58.6,60,
55.7,58.6,64.3,70,
64.3,62.9,68.6,58.6,
67.1,54.3,72.9,67.1,
68.6,60,55.7,61.4,
67.1,55.7,61.4,64.3,
72.9,60,57.1,60,
68.6,52.9,68.6,68.6,31
58.6,60,70,68.6,
70,58.6,61.4,60,
67.1,60,65.7,67.1,
60,60,61.4,65.7,
71.4,61.4,67.1,62.9,
68.6,60,65.7,70,
67.1,57.1,65.7,68.6,
68.6,55.7,67.1,67.1,
64.3,58.6,72.9,60,
65.7,48.6,61.4,64.3,32
60,54.3,67.1,62.9,
60,67.1,57.1,55.7,
65.7,62.9,67.1,60,
64.3,61.4,67.1,64.3,
68.6,67.1,70,60,
72.9,61.4,57.1,71.4,
68.6,58.6,65.7,64.3,
70,55.7,60,70,
70,58.6,60,64.3,
65.7,60,61.4,61.4,33
62.9,61.4,72.9,65.7,
67.1,58.6,71.4,64.3,
64.3,55.7,74.3,67.1,
62.9,62.9,65.7,68.6,
60,61.4,65.7,62.9,
64.3,64.3,65.7,57.1,
62.9,62.9,61.4,67.1,
65.7,47.1,75.7,65.7,
72.9,52.9,57.1,62.9,
67.1,61.4,65.7,58.6,34
68.6,61.4,72.9,67.1,
65.7,60,64.3,72.9,
65.7,64.3,70,60,
75.7,55.7,67.1,64.3,
70,57.1,62.9,74.3,
64.3,67.1,68.6,68.6,
62.9,60,62.9,62.9,
62.9,54.3,67.1,70,
61.4,67.1,65.7,60,
60,65.7,61.4,57.1,35
67.1,57.1,68.6,67.1,
58.6,58.6,61.4,60,
62.9,54.3,61.4,74.3,
57.1,60,71.4,64.3,
64.3,64.3,58.6,72.9,
71.4,57.1,71.4,72.9,
65.7,61.4,72.9,65.7,
67.1,58.6,67.1,72.9,
71.4,60,64.3,55.7,
